"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-Jun-2023","EQ","868.00","870.45","852.05","865.00","863.00","862.75","862.10","872.40","686.60","1,754,715","1,512,731,377.25","49,430"
"15-Jun-2023","EQ","864.00","872.40","856.00","862.50","863.05","865.00","864.61","872.40","686.60","3,106,263","2,685,690,772.95","75,850"
"14-Jun-2023","EQ","822.80","865.00","816.00","819.90","862.25","862.50","854.38","865.00","686.60","7,652,583","6,538,178,724.55","199,993"
"13-Jun-2023","EQ","802.35","821.10","802.35","800.75","819.50","819.90","814.45","861.15","686.60","2,697,513","2,196,994,741.75","43,397"
"12-Jun-2023","EQ","802.95","807.85","799.35","801.00","801.85","800.75","801.70","861.15","686.60","3,168,760","2,540,396,060.10","33,080"
"09-Jun-2023","EQ","810.70","811.85","799.00","807.10","801.00","801.00","805.11","861.15","686.60","835,145","672,386,392.30","31,093"
"08-Jun-2023","EQ","824.80","824.80","805.20","823.10","806.05","807.10","814.49","861.15","686.60","1,117,198","909,946,488.55","43,994"
"07-Jun-2023","EQ","794.00","824.00","791.50","792.10","822.90","823.10","814.78","861.15","686.60","3,971,089","3,235,544,880.35","101,728"
"06-Jun-2023","EQ","792.95","795.95","784.45","792.45","792.50","792.10","790.05","861.15","686.60","744,002","587,801,631.05","43,099"
"05-Jun-2023","EQ","796.95","800.45","790.60","796.05","792.00","792.45","795.15","861.15","686.60","774,985","616,232,218.60","33,825"
"02-Jun-2023","EQ","795.50","799.85","793.00","793.65","795.00","796.05","796.57","861.15","686.60","697,200","555,372,028.65","35,520"
"01-Jun-2023","EQ","798.90","801.45","789.35","798.65","792.00","793.65","797.50","861.15","686.60","703,293","560,879,301.45","32,810"
"31-May-2023","EQ","787.05","800.00","787.05","790.90","795.95","798.65","797.60","861.15","686.60","2,201,928","1,756,251,014.20","39,757"
"30-May-2023","EQ","792.55","797.00","788.25","794.25","789.65","790.90","791.66","861.15","686.60","601,270","476,002,604.85","27,891"
